"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_symbol"
458.726949884894	27.7484900941778	2.13520451871267	12.9957059621191	1.29408072933008e-38	6.40206000813265e-36	"OSTN"
1447.25943742197	29.3778410371722	2.71788829850176	10.8090685895247	3.11819916692549e-27	3.7539323963192e-25	"GIP"
283.639320090095	30	4.13050666105829	7.26303150236625	3.78509736001247e-13	9.51896367058895e-12	"NKX1-1"
244.487317222222	26.7375877082963	3.80347646130544	7.02977604313063	2.06865306102919e-12	4.85527748097154e-11	"MTNR1B"
288.102463210074	27.0980175890927	3.91986137433924	6.91300405837964	4.74496367539499e-12	1.08005061028293e-10	"PROP1"
195.752520935542	26.5719889619298	4.08266609597317	6.50848938837745	7.59102706982727e-11	1.53488401169952e-09	"WNT8A"
496162.665323239	0.990980208821935	0.157838693300628	6.27843647269978	3.41994710204838e-10	6.4646188146302e-09	"NKD1"
214.630689892843	26.7141486655603	4.62737515928669	5.77306739695562	7.78412876815362e-09	1.29104811449597e-07	"CRH"
775934.289131286	0.131949755928842	0.0260610445128548	5.06310312557723	4.12486574582195e-07	5.42139888934058e-06	"NCOA5"
115.748107016516	23.5233629302006	4.70279385872868	5.00199745871057	5.67393386371997e-07	7.2702587613558e-06	"BIRC8"
475305.576897572	0.402744163540076	0.0809770103850964	4.97356177543201	6.57338134703396e-07	8.2951933124667e-06	"TCF7"
102.614961356854	25.5909051559959	5.28292666455865	4.844077304286	1.27201404210663e-06	1.49775041283674e-05	"GNAT2"
665537.796173253	0.172756644457183	0.036069894283208	4.78949683358535	1.67200036499407e-06	1.90627484405409e-05	"SLC35C2"
119272.607348979	-1.01003210640116	0.212894427625938	-4.74428625335287	2.09242787052663e-06	2.322947098058e-05	"ERFE"
149.395313389873	26.2013060756503	5.69024313435513	4.60460220363143	4.13255027742649e-06	4.15142011357085e-05	"TLE7"
190098.940513645	0.732974105459232	0.159840286027828	4.5856656270724	4.52542359061667e-06	4.47902349878415e-05	"WNT5B"
721950.691397142	-0.170393071154901	0.0374817800058494	-4.54602399161164	5.4668807508159e-06	5.267570856127e-05	"MCU"
975189.440583975	0.188413512547394	0.0419560496286389	4.49073528645044	7.09777197735463e-06	6.56912178740141e-05	"HNF4A"
752945.071455744	-0.159523009033462	0.036358775815547	-4.38746919980871	1.14677226947984e-05	0.00010010781250695	"PGAM1"
52.8643582865118	24.7489074511624	5.69024805926302	4.34935475455665	1.36538681201039e-05	0.00011627454879471	"PTH"
916526.0402897	0.302536365430561	0.0697636854751362	4.33658805967734	1.44711466849142e-05	0.000122313253160105	"RNF43"
125961.143166198	0.916075506244896	0.211333732178243	4.33473396226335	1.45936504251409e-05	0.000123249975929798	"CXXC4"
261208.909179815	0.535444926742174	0.124401084100055	4.30418215898759	1.67603721267617e-05	0.000138968127944788	"TMEM198"
257258.170766553	1.32050111134643	0.311806253870717	4.23500521543082	2.28546401424761e-05	0.000184081306586385	"SOSTDC1"
245119.27103612	0.611862468047487	0.145646162078618	4.20102019383945	2.65714886360329e-05	0.000211542990493858	"SLC25A27"
824726.245779062	0.379615434685773	0.0914285558850766	4.15204452275217	3.29518132395118e-05	0.00025716546975337	"AXIN2"
337878.071871979	0.381451531912836	0.095246265390718	4.00489751853315	6.20443734115288e-05	0.000464958331587178	"PTCH1"
870868.5121704	0.110502274649857	0.0276612520909268	3.99483994023911	6.47379735112212e-05	0.000484799838531761	"GID8"
462465.01820249	0.25401414384174	0.0637456428444215	3.98480794148849	6.7534725681423e-05	0.00050490778855377	"MLLT3"
1371545.99362991	-0.0672199660437226	0.0173935359351994	-3.86465214975001	0.000111247626927397	0.000821054164050173	"HSPA5"
600032.30920837	0.34292768323959	0.089036461160821	3.85154215215473	0.000117376320820561	0.000864674050679524	"SESN1"
756284.315397103	-0.190512304911846	0.0499233075761792	-3.8160994165128	0.000135577896493982	0.00099321317880436	"SREBF1"
591088.494217209	0.24903428075617	0.0656138958562573	3.79545030067622	0.000147375717226707	0.00107714911330378	"DAB2"
927641.129973206	-0.0962829410231312	0.0254181657291346	-3.78795787426826	0.000151890594343053	0.0011088678805833	"CTDNEP1"
692895.694001093	-0.138153134207352	0.0367238293482391	-3.76194794113911	0.000168595144842134	0.0012246064409249	"CCAR2"
494153.393237847	-0.36291848051696	0.0968043651875483	-3.74898879625773	0.000177549016165078	0.0012869864811856	"ENO2"
282753.77030065	-0.681203249607008	0.183127067036606	-3.71983923857002	0.000199349625304731	0.00143711471684845	"PTPRU"
357917.710318855	0.474462636841752	0.130286450065624	3.64168826921579	0.000270855934114503	0.00192542446922618	"CTSV"
512426.44977691	-0.466748656477621	0.128326577176296	-3.63719399946589	0.000275624337569512	0.00195756343116327	"AQP3"
401341.640982304	0.452659080882828	0.124673046935176	3.63076937646506	0.000282577603143507	0.00200514837981392	"FGGY"
228159.02128016	0.450155102894425	0.124130320866537	3.62647175768139	0.000287320228133067	0.00203606380106293	"FOXL1"
460874.103280954	0.62520480064208	0.173513576146021	3.60320393671062	0.000314318722849286	0.002214499199567	"WNT11"
551610.966834052	0.167938014525856	0.0468436013718998	3.58507906325489	0.000336976104676848	0.00236675630574054	"STK4"
491494.197286927	-0.373983079505688	0.104461828811193	-3.58009316667846	0.000343471722648864	0.00240917183927965	"OXCT1"
632499.784595842	0.369679606015495	0.103570474737208	3.56935320566495	0.00035786367326145	0.00250734224890552	"TLE2"
860410.715937471	-0.0703272579749152	0.0198567519880533	-3.54173018916826	0.000397511851031385	0.00276920137015527	"PSMD1"
